c203

capacity,speed
700,10

ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,5227240334,745154,2543668,0,0,1000000,0
1,8519391544,754113,2536724,40,2008,7353,30
2,8519391531,754475,2537701,40,2718,7185,30
3,5227306315,753295,2537571,40,2315,9018,30
4,8519394537,755241,2536224,40,2461,7238,30
5,5227314448,752661,2538164,40,2050,6147,30
6,8519394867,752511,2536616,40,2278,7379,30
7,5227300498,751856,2538191,30,2149,7850,30
8,8585695788,753403,2536114,30,1956,7388,30
9,8519394484,755492,2537289,30,2178,5615,30
10,8479227396,755339,2535392,30,2269,7720,30
11,4625230621,755086,2538893,30,2661,6330,30
12,5227300540,751709,2536586,30,1945,7683,30
13,4950029906,756183,2535982,30,3000,5583,30
14,8519394809,753576,2538377,30,1997,5783,30
15,8477544685,756408,2537053,30,2569,7693,30
16,8519394635,755272,2535818,30,2309,6519,30
17,8519394730,754502,2536837,30,2612,9018,30
18,5227306484,752938,2538360,30,2475,4071,30
19,8585695789,753691,2536599,30,2500,6478,30
20,8519394685,754742,2536521,10,2611,8081,30
21,8519394756,754210,2537711,10,2414,7446,30
22,8519394551,755469,2536538,10,2409,5902,30
23,8519394866,752374,2536819,10,2400,7904,30
24,8519394652,755063,2536687,10,2861,8067,30
25,8519391532,754710,2537526,10,2074,6816,30
26,8519391537,754509,2537258,10,2170,5614,30
27,5223314090,754961,2550150,40,2543,8929,30
28,8866505651,752321,2546767,40,1978,5537,30
29,5223312083,752127,2550992,40,2136,7112,30
30,6168980109,755793,2550971,40,2480,7493,30
31,9441316317,751102,2552769,40,2795,9547,30
32,2540571804,750742,2544414,40,1601,9478,30
33,8563924544,753977,2550385,40,2383,8457,30
34,4588763143,748035,2549570,40,1465,7408,30
35,5227838419,749727,2550599,40,1861,6842,30
36,5227197277,753527,2548830,30,2136,7452,30
37,8866556203,749669,2548098,30,2278,8389,30
38,8564109980,753108,2551199,30,2534,8426,30
39,6376552291,749193,2546204,20,1246,4434,30
40,5227740216,748040,2550862,20,2149,8972,30
41,8318758813,752395,2552265,20,2230,6633,30
42,8866546047,750981,2546101,20,1892,6926,30
43,5227733450,747835,2552027,20,1845,5729,30
44,8939458994,754479,2548152,10,2279,8187,30
45,5227757809,748694,2550121,10,1690,6564,30
46,8866550472,751174,2549023,10,1681,4686,30
47,2854570461,747150,2547254,10,1608,6768,30
48,5227839731,750284,2552263,10,2137,5115,30
49,8349350412,751447,2545242,10,1569,5213,30
50,8866555983,751367,2550025,10,2374,7523,30
51,9438443570,756237,2547019,10,2708,6736,30
52,6342573178,751497,2548002,10,1528,5307,30
53,9197206831,752544,2547932,10,1758,6825,30
54,4084853762,748261,2546516,10,1751,5093,30
55,8890641160,754120,2551598,10,2286,7224,30
56,9480313630,746490,2549039,10,1833,5008,30
57,8866556095,749923,2549576,10,2433,6530,30
58,9197206786,754122,2546764,10,2638,6174,30
59,7794227954,741220,2537981,40,1482,5468,30
60,6027496796,739530,2535750,40,2312,4347,30
61,6343092252,743082,2535610,40,2327,6685,30
62,2129496399,743701,2538015,40,2049,6192,30
63,6027518295,741582,2536452,40,2438,6909,30
64,6027520829,743368,2536808,40,1795,5566,30
65,6027550725,742304,2537475,40,1955,4545,30
66,8223716755,740558,2535658,40,1862,5898,30
67,8280411512,740696,2540421,40,1974,6350,30
68,4916085884,742812,2539035,40,1472,4679,30
69,3359320369,741684,2538941,40,1910,9759,30
70,1531724350,740510,2539427,40,1438,7497,30
71,6031304128,744649,2536859,40,1938,4451,30
72,6027503586,738314,2535480,40,2328,5760,30
73,4910265376,737779,2538713,30,1654,7412,30
74,5958994999,738892,2540480,30,1908,8516,30
75,7793684105,738430,2539211,30,2018,6003,30
76,6027523148,744731,2535876,20,1820,6324,30
77,6027499548,737775,2536375,10,2283,4495,30
78,1776580297,740252,2538414,10,1859,6732,30
79,6027485365,739869,2534828,10,2360,6173,30
80,1184982549,732492,2550227,40,2470,7781,30
81,9161991556,734724,2547244,40,2446,8883,30
82,7113442026,731086,2550267,40,3349,7759,30
83,4548198404,731793,2549149,40,3054,8792,30
84,1184981550,734769,2549287,40,2642,6598,30
85,4638394582,735785,2550683,40,2195,9239,30
86,9331509991,736585,2548090,40,2542,8060,30
87,4549362414,736361,2546876,40,2284,6326,30
88,4638394261,737220,2550450,40,2355,7783,30
89,4426049011,735634,2549444,40,2697,8103,30
90,9069696391,737116,2547303,40,2470,8202,30
91,7572060247,733863,2547583,40,2740,6347,30
92,7087285169,733592,2548799,40,2807,8983,30
93,7165309974,733168,2551210,40,2729,7425,30
94,7113416510,731694,2550894,20,3263,8216,30
95,7086181065,734386,2550097,20,2535,5648,30
96,5500331671,736314,2548989,20,1940,8619,30
97,1204754207,737258,2549623,20,2779,7020,30
98,9500839348,733125,2546857,20,2927,7060,30
99,9047385253,735047,2548074,20,2354,7322,30
100,4638394510,736453,2550214,20,2196,6350,30
