r105

capacity,speed
200,10

happen_time,style,ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,static,0,5227240334,745154,2543668,0,0,1000000,0
0,static,100,8532632158,747425,2543697,12,379,961,30
0,static,6,5227251158,742883,2542548,5,401,730,30
0,static,23,8592177789,743738,2542373,10,431,1236,30
0,static,92,9197206559,742691,2542912,16,482,882,30
0,static,84,5734868033,744847,2546818,17,484,803,30
0,static,25,4348024493,748535,2541187,22,564,1496,30
0,static,2,8282274551,745234,2539935,38,617,1737,30
0,static,27,8069610020,742029,2540816,20,625,1139,30
0,static,60,8129357560,748643,2541082,5,664,1428,30
0,static,59,8295573029,747370,2541298,10,689,1403,30
0,static,10,9197206723,750832,2544228,37,696,1792,30
0,static,1,4826055758,744681,2538643,26,784,1130,30
0,static,64,3045103675,740197,2545818,32,789,1304,30
0,static,26,8313576767,741748,2548211,23,802,1627,30
0,static,8,8259823050,743523,2538665,14,810,1320,30
0,static,44,1183403446,739553,2541891,18,832,1470,30
0,static,57,5227209150,750489,2544696,19,832,1591,30
0,static,75,7794254094,740249,2539368,16,865,1631,30
0,static,22,5223207742,739666,2542999,26,866,1348,30
0,static,43,1183350761,739918,2541425,35,875,1664,30
0,static,89,8349350404,751475,2545231,11,882,1312,30
0,static,88,8129274947,745905,2538286,19,886,2111,30
0,static,56,7793683629,740641,2538609,25,913,1624,30
0,static,13,4544517195,738362,2542575,25,920,1853,30
0,static,52,7793680582,740599,2538832,23,925,1655,30
0,static,11,7793683599,740565,2538668,28,991,2038,30
0,static,86,8278617510,738734,2545975,4,1008,1986,30
0,static,18,5227345110,745929,2536831,12,1011,1647,30
0,static,14,6027436826,743291,2536693,35,1015,1845,30
0,static,61,8512758550,743106,2537069,13,1022,1646,30
0,static,68,1183426010,736593,2543098,20,1053,1852,30
0,static,74,1181523737,738090,2541461,12,1075,1525,30
0,static,77,5838266209,738782,2544865,39,1108,1477,30
0,static,42,4582758495,742387,2551434,3,1152,1596,30
0,static,5,2610436531,743601,2551809,27,1219,1612,30
0,static,76,6364910486,736710,2544094,17,1243,1921,30
0,static,70,1183426239,736176,2542719,32,1254,1761,30
0,static,90,1183335695,736819,2538444,11,1280,1809,30
0,static,40,4380457303,755270,2543584,14,1289,1956,30
0,static,65,6193838558,740855,2535789,0,1296,1778,30
0,static,16,8563946308,753330,2548160,32,1306,1856,30
0,static,20,8599537411,753874,2550714,31,1321,1623,30
0,static,36,5232258060,749238,2536011,15,1335,1924,30
0,static,63,6027503591,738314,2535554,4,1376,1799,30
0,static,95,1689775487,741494,2550424,34,1400,2466,30
0,static,3,4628916372,753244,2539544,2,1406,1805,30
0,static,15,4305888122,753734,2540428,29,1415,2287,30
0,static,12,8958638250,737852,2550542,12,1458,2146,30
0,static,97,1683689472,734649,2539798,15,1478,1960,30
0,static,83,5229644901,744451,2552544,25,1504,2009,30
0,static,31,6183339814,757153,2544452,17,1536,1985,30
0,static,62,6183340387,756855,2544111,3,1553,2246,30
0,static,51,8461607517,755438,2547920,22,1572,2624,30
0,static,94,9109706349,732988,2543379,22,1582,2079,30
0,static,35,4459104968,734984,2550415,8,1643,2391,30
0,static,98,8431293332,731603,2545868,1,1684,2081,30
0,static,39,6173467419,732997,2540655,21,1685,2006,30
0,static,50,7081966103,734861,2548674,23,1721,2343,30
0,static,24,4544948141,731639,2544303,28,1728,2311,30
0,static,80,5232211751,754698,2535058,28,1833,2454,30
0,static,28,4782275568,730616,2546274,16,1855,2454,30
0,static,87,8582865549,758247,2543875,19,1865,2239,30
0,static,48,7564465151,735997,2535221,14,1884,3024,30
0,static,30,7087862959,732474,2549834,30,1904,2239,30
0,static,78,7054219990,757819,2539721,27,1918,3092,30
0,static,91,7087862951,732283,2549785,6,1919,2533,30
0,static,67,1184982367,732229,2551124,13,1994,2836,30
0,static,17,8582969202,758713,2537611,7,2216,2609,30
0,static,58,8589262672,759996,2535719,24,2458,3277,30
