rc205

capacity,speed
1000,10

happen_time,style,ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,static,0,5227240334,745154,2543668,0,0,1000000,0
0,static,96,5227251130,743899,2541301,23,436,2533,30
0,static,85,5734867876,744388,2546210,18,573,2799,30
0,static,49,7427843354,747172,2548606,30,646,3318,30
0,static,59,4547616917,742042,2539503,21,661,3316,30
0,static,87,4343559245,742789,2546144,2,677,4201,30
0,static,75,710899248,741176,2545430,19,721,4650,30
0,static,51,3359329771,742674,2539537,36,723,1871,30
0,static,100,5229738768,744609,2548246,16,734,3105,30
0,static,53,1347758290,744253,2538645,34,750,3515,30
0,static,41,8532646011,749310,2542951,16,776,4355,30
0,static,44,8406402899,744373,2538260,7,777,2184,30
0,static,80,8234391964,744277,2538301,12,845,3717,30
0,static,99,7794228311,740822,2538802,10,847,2515,30
0,static,89,1531727722,740323,2540589,12,870,4064,30
0,static,54,8277292927,743463,2538653,16,900,2692,30
0,static,84,7794227983,741089,2537861,14,917,2414,30
0,static,83,3035343997,741407,2547048,2,943,2234,30
0,static,69,6027483027,740040,2537266,38,1044,2487,30
0,static,21,6027538934,740657,2537260,0,1072,2776,30
0,static,93,7242955955,751424,2548431,18,1077,2492,30
0,static,48,4463639747,738173,2545006,30,1101,3949,30
0,static,66,9384985085,738214,2548611,25,1109,2751,30
0,static,79,6193838281,743157,2536108,2,1120,3809,30
0,static,15,6027509409,740141,2536645,24,1126,2873,30
0,static,3,6027538435,740668,2537240,0,1132,2507,30
0,static,42,6027515735,742004,2536710,2,1132,3004,30
0,static,77,6183603805,754187,2544214,19,1145,3522,30
0,static,94,3018899629,737863,2548409,12,1146,4571,30
0,static,73,8866506285,752317,2547026,24,1149,4048,30
0,static,11,6027484172,739611,2537325,16,1169,3449,30
0,static,17,8193338915,741127,2537244,33,1174,5641,30
0,static,50,5227345109,745947,2536821,1,1185,3166,30
0,static,9,8283002490,741068,2536925,38,1214,5054,30
0,static,22,6027540877,740667,2537374,11,1220,5170,30
0,static,10,6027471357,739253,2537150,12,1244,3586,30
0,static,13,6027531944,741071,2536734,23,1244,3760,30
0,static,52,4450606273,743797,2550165,27,1249,3739,30
0,static,19,8283002468,740674,2536990,38,1251,2427,30
0,static,1,8283002461,740720,2536942,7,1260,2646,30
0,static,20,8283002475,741052,2537004,10,1265,2466,30
0,static,7,6027524686,740765,2536662,36,1291,2607,30
0,static,46,8410399295,743465,2536060,8,1305,3442,30
0,static,97,3018565742,736000,2544171,11,1305,3856,30
0,static,8,8283846702,741130,2536717,39,1307,5378,30
0,static,23,8421731430,739283,2537183,23,1329,3790,30
0,static,68,4581513478,743800,2551260,18,1341,2406,30
0,static,16,6027484370,740925,2536028,15,1351,2474,30
0,static,40,5227300591,752494,2536953,16,1353,4233,30
0,static,82,8013343348,736764,2548633,18,1356,4073,30
0,static,6,8256951103,739541,2537297,39,1372,3155,30
0,static,78,6343092186,738463,2535720,16,1381,3863,30
0,static,38,5227300610,752936,2537090,17,1397,3391,30
0,static,56,2610558058,742954,2552031,4,1409,4527,30
0,static,90,6027410633,739230,2536470,37,1431,4692,30
0,static,92,8563847416,755094,2548301,15,1454,5050,30
0,static,76,9231738650,735961,2547135,25,1490,3532,30
0,static,30,8519391529,754531,2537770,6,1513,4569,30
0,static,28,5227306291,753543,2536715,38,1527,3062,30
0,static,95,706170996,733879,2540483,24,1534,2836,30
0,static,62,4380457288,756295,2543477,38,1563,3025,30
0,static,27,8519391544,754113,2536724,27,1581,4445,30
0,static,36,8519394625,755298,2536062,14,1636,3670,30
0,static,32,8519391549,754196,2536621,12,1641,5631,30
0,static,72,8311500944,735388,2550822,7,1643,2840,30
0,static,65,4950043885,754987,2548485,18,1646,3943,30
0,static,34,8519394495,755511,2536124,7,1648,3955,30
0,static,26,8519394788,753641,2537904,5,1652,5078,30
0,static,70,8790026462,735246,2550667,16,1710,4964,30
0,static,25,8519391613,754934,2537570,17,1726,3458,30
0,static,35,8519394555,755287,2536732,30,1732,2880,30
0,static,64,8524660974,731975,2543698,23,1732,3671,30
0,static,67,9231738707,734602,2547221,39,1733,3059,30
0,static,71,7081966153,734732,2548760,11,1764,4429,30
0,static,55,4426049013,735526,2549266,11,1765,4756,30
0,static,58,5232211975,754433,2535696,34,1769,4087,30
0,static,31,8519394552,755464,2536236,16,1782,4799,30
0,static,29,8519394462,755583,2537097,12,1831,3762,30
0,static,86,7082001007,734970,2549584,11,1919,4927,30
0,static,60,4548198407,731707,2549110,7,1965,4221,30
0,static,45,5261426246,731344,2549977,16,2030,4669,30
0,static,61,8582969212,758881,2538141,27,2151,4057,30
0,static,57,4548198467,730878,2549607,20,2210,4289,30
59,add,98,7081966178,734908,2548741,26,1776,3256,30
136,remove,6,8256951103,739541,2537297,39,1372,3155,30
218,add,47,6235396954,743874,2539395,27,851,3578,30
220,remove,27,8519391544,754113,2536724,27,1581,4445,30
242,add,5,6027548432,741069,2537488,18,988,5040,30
