rc104

capacity,speed
200,10

ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,5227240334,745154,2543668,0,0,1000000,0
1,6027483126,740047,2537213,29,1156,1781,30
2,6027451963,740655,2537079,31,1090,1548,30
3,7431848064,741237,2536274,28,1097,1503,30
4,6027483082,739282,2537394,36,1381,2166,30
5,6027537485,741068,2536964,18,1201,2089,30
6,6027421746,739237,2537119,10,1120,1447,30
7,6027548431,741073,2537416,23,1027,1905,30
8,8283854246,741572,2536740,4,1031,1522,30
9,8256951103,739541,2537297,10,1272,2135,30
10,6027483192,740132,2537129,24,1234,1538,30
11,6027483188,740129,2537148,23,1311,1695,30
12,6027424890,741509,2536757,31,1283,1887,30
13,6027507550,739861,2537342,9,1076,1938,30
14,6027490570,739600,2537320,29,1169,1799,30
15,6027530814,740686,2536699,28,1211,1530,30
16,8519391594,754304,2536855,15,1557,2182,30
17,8519391529,754531,2537770,4,1505,1836,30
18,8519394868,752400,2536407,4,1313,1705,30
19,8519394671,755064,2536327,17,1641,2475,30
20,5227300657,752953,2536744,33,1439,2578,30
21,8519394662,754862,2536334,28,1759,2151,30
22,5227300647,752909,2536995,10,1498,2182,30
23,8519394536,755351,2536277,23,1611,2253,30
24,8479227396,755339,2535392,17,1769,2581,30
25,8519391535,754374,2537354,37,1680,2606,30
26,8585695793,753408,2536285,15,1477,1995,30
27,3766976393,754011,2536588,10,1580,1885,30
28,8519394574,754932,2537357,16,1749,2143,30
29,5227300345,752942,2537486,6,1241,1572,30
30,8519394509,755084,2535688,3,1817,2344,30
31,8519394515,755029,2536126,31,1610,2461,30
32,5227300658,753105,2536625,2,1587,2028,30
33,8519394588,755028,2537145,8,1545,1995,30
34,8519394473,755216,2536805,25,1672,2562,30
35,5227300656,753538,2536588,32,1592,1928,30
36,8519391568,753992,2536161,13,1644,1976,30
37,8557419793,741117,2539979,3,980,1981,30
38,8280411512,740696,2540421,30,811,1311,30
39,5234633384,757430,2542140,3,1561,2114,30
40,2463954484,736244,2538955,14,1393,1910,30
41,5227345241,745616,2537373,25,944,1577,30
42,7165283288,733950,2536970,27,2311,2633,30
43,9269242180,736693,2547529,5,1327,2040,30
44,8589133932,744644,2537094,27,1120,1769,30
45,6173561299,744092,2537604,3,1067,1466,30
46,4422263407,738226,2548726,38,1233,1954,30
47,7165310027,733271,2551258,2,1960,2634,30
48,4450465076,745735,2552765,7,1610,1948,30
49,8512657610,742220,2536786,10,1105,1575,30
50,8280433658,740579,2539987,12,776,1093,30
51,5227095628,750033,2541711,21,918,1317,30
52,8589504001,743186,2540091,25,852,1813,30
53,4623349773,755478,2541559,38,1579,1912,30
54,1683689514,734991,2540212,19,1713,2715,30
55,4463639779,739078,2545599,35,1030,1703,30
56,4004988691,735074,2541664,5,1401,2105,30
57,5232212173,753207,2535529,29,1741,2170,30
58,5261426469,731862,2550577,26,1970,2369,30
59,6944250977,755118,2550283,23,1607,2187,30
60,8567027656,757460,2536121,17,2305,3199,30
61,4638394540,735540,2549992,13,1895,2228,30
62,2002623127,731420,2544512,35,1837,2585,30
63,4547665928,743762,2538647,28,981,1318,30
64,6027491210,741477,2535248,13,1321,1734,30
65,8589262739,761041,2533741,10,2799,3890,30
66,6183603554,753953,2544049,25,1260,2507,30
67,691765621,744008,2539820,5,650,979,30
68,4446939800,734470,2549333,26,1859,2246,30
69,1183403455,740450,2542222,38,988,1308,30
70,6027544227,743159,2537215,7,1049,1584,30
71,5223207903,733870,2541522,20,1358,2549,30
72,8690549498,755000,2540231,31,1551,2298,30
73,4318216714,736568,2532815,25,2213,2808,30
74,8589262696,760819,2535935,36,2472,3230,30
75,3529382097,732048,2543723,24,1534,2441,30
76,4083275054,738775,2542745,11,927,2075,30
77,4548198419,731814,2549144,28,1968,2535,30
78,7052554864,757848,2537778,22,2165,2847,30
79,6391809817,735047,2548345,24,1928,2771,30
80,8530741462,753424,2544222,2,1007,1557,30
81,8259399990,740305,2534841,12,1291,2041,30
82,279960703,734947,2550278,5,1761,2466,30
83,7793680541,740662,2538044,10,1020,1364,30
84,4910265393,737780,2536927,4,1323,2235,30
85,8305608435,734070,2533532,29,2281,3335,30
86,8367267882,742997,2539153,31,707,1200,30
87,7794227702,741680,2538477,25,1020,1349,30
88,4668248556,745319,2550279,29,1268,1654,30
89,5229696850,738985,2547587,25,936,1666,30
90,5488876168,733651,2544127,23,1448,1813,30
91,8315085032,742399,2542075,25,567,1262,30
92,5232087695,739369,2548118,20,1171,1564,30
93,1183426491,736662,2543100,4,1274,1643,30
94,6027464122,742024,2536130,36,1082,1722,30
95,8410376803,742959,2535763,3,1065,1616,30
96,1776580297,740252,2538414,15,1095,1519,30
97,7572060248,733800,2547512,1,1834,2290,30
98,3221340587,743939,2550228,29,1284,1691,30
99,3768632589,748736,2541931,11,593,1255,30
100,4305774149,748709,2538828,15,1001,1665,30
